Entry Time Temperature CO* OH* OH CO2
1 0.0000000000000000E+00 1.0100000000000000E+00 2250 0 0 0
2 1.0000000000000000E-02 1.0249999999999999E+00 2250 0 0 0
3 2.0000000000000000E-02 1.0400000000000000E+00 2250 0 0 0
4 2.9999999999999999E-02 1.0549999999999999E+00 2250 0 0 0
5 4.0000000000000001E-02 1.0700000000000001E+00 2250 0 0 0
6 5.0000000000000003E-02 1.0850000000000000E+00 2250 0 0 0
7 6.0000000000000005E-02 1.1000000000000001E+00 2250 0 0 0
8 7.0000000000000007E-02 1.1150000000000000E+00 2250 0 0 0
9 8.0000000000000002E-02 1.1299999999999999E+00 2250 0 0 0
10 8.9999999999999997E-02 1.1450000000000000E+00 2250 0 0 0
11 9.9999999999999992E-02 1.1599999999999999E+00 2250 0 0 0
12 1.0999999999999999E-01 1.1750000000000000E+00 2250 0 0 0
13 1.1999999999999998E-01 1.1899999999999999E+00 2250 0 0 0
14 1.2999999999999998E-01 1.2050000000000001E+00 2250 0 0 0
15 1.3999999999999999E-01 1.2200000000000000E+00 2250 0 0 0
16 1.4999999999999999E-01 1.2349999999999999E+00 2250 0 0 0
17 1.6000000000000000E-01 1.2500000000000000E+00 2250 0 0 0
18 1.7000000000000001E-01 1.2650000000000001E+00 2250 0 0 0
19 1.8000000000000002E-01 1.2800000000000000E+00 2250 0 0 0
20 1.9000000000000003E-01 1.2949999999999999E+00 2250 0 0 0
21 2.0000000000000004E-01 1.3100000000000001E+00 2250 0 0 0
22 2.1000000000000005E-01 1.3250000000000002E+00 2250 0 0 0
23 2.2000000000000006E-01 1.3400000000000001E+00 2250 0 0 0
24 2.3000000000000007E-01 1.3550000000000000E+00 2250 0 0 0
25 2.4000000000000007E-01 1.3700000000000001E+00 2250 0 0 0
26 2.5000000000000006E-01 1.3850000000000002E+00 2250 0 0 0
27 2.6000000000000006E-01 1.4000000000000001E+00 2250 0 0 0
28 2.7000000000000007E-01 1.4150000000000000E+00 2250 0 0 0
29 2.8000000000000008E-01 1.4300000000000002E+00 2250 0 0 0
30 2.9000000000000009E-01 1.4450000000000003E+00 2250 0 0 0
31 3.0000000000000010E-01 1.4600000000000002E+00 2250 0 0 0
32 3.1000000000000011E-01 1.4750000000000001E+00 2250 0 0 0
33 3.2000000000000012E-01 1.4900000000000002E+00 2250 0 0 0
34 3.3000000000000013E-01 1.5050000000000003E+00 2250 0 0 0
35 3.4000000000000014E-01 1.5200000000000002E+00 2250 0 0 0
36 3.5000000000000014E-01 1.5350000000000001E+00 2250 0 0 0
37 3.6000000000000015E-01 1.5500000000000003E+00 2250 0 0 0
38 3.7000000000000016E-01 1.5650000000000004E+00 2250 0 0 0
39 3.8000000000000017E-01 1.5800000000000003E+00 2250 0 0 0
40 3.9000000000000018E-01 1.5950000000000002E+00 2250 0 0 0
41 4.0000000000000019E-01 1.6100000000000003E+00 2250 0 0 0
42 4.1000000000000020E-01 1.6250000000000004E+00 2250 0 0 0
43 4.2000000000000021E-01 1.6400000000000003E+00 2250 0 0 0
44 4.3000000000000022E-01 1.6550000000000002E+00 2250 0 0 0
45 4.4000000000000022E-01 1.6700000000000004E+00 2250 0 0 0
46 4.5000000000000023E-01 1.6850000000000005E+00 2250 0 0 0
47 4.6000000000000024E-01 1.7000000000000004E+00 2250 0 0 0
48 4.7000000000000025E-01 1.7150000000000003E+00 2250 0 0 0
49 4.8000000000000026E-01 1.7300000000000004E+00 2250 0 0 0
50 4.9000000000000027E-01 1.7450000000000006E+00 2250 0 0 0
51 5.0000000000000022E-01 1.7600000000000002E+00 2250 0 0 0
52 5.1000000000000023E-01 1.7750000000000004E+00 2250 0 0 0
53 5.2000000000000024E-01 1.7900000000000005E+00 2250 0 0 0
54 5.3000000000000025E-01 1.8050000000000004E+00 2250 0 0 0
55 5.4000000000000026E-01 1.8200000000000003E+00 2250 0 0 0
56 5.5000000000000027E-01 1.8350000000000004E+00 2250 0 0 0
57 5.6000000000000028E-01 1.8500000000000005E+00 2250 0 0 0
58 5.7000000000000028E-01 1.8650000000000004E+00 2250 0 0 0
59 5.8000000000000029E-01 1.8800000000000003E+00 2250 0 0 0
60 5.9000000000000030E-01 1.8950000000000005E+00 2250 0 0 0
61 6.0000000000000031E-01 1.9100000000000006E+00 2250 0 0 0
62 6.1000000000000032E-01 1.9250000000000005E+00 2250 0 0 0
63 6.2000000000000033E-01 1.9400000000000004E+00 2250 0 0 0
64 6.3000000000000034E-01 1.9550000000000005E+00 2250 0 0 0
65 6.4000000000000035E-01 1.9700000000000006E+00 2250 0 0 0
66 6.5000000000000036E-01 1.9850000000000005E+00 2250 0 0 0
67 6.6000000000000036E-01 2.0000000000000004E+00 2250 0 0 0
68 6.7000000000000037E-01 2.0150000000000006E+00 2250 0 0 0
69 6.8000000000000038E-01 2.0300000000000002E+00 2250 0 0 0
70 6.9000000000000039E-01 2.0450000000000008E+00 2250 0 0 0
71 7.0000000000000040E-01 2.0600000000000005E+00 2250 0 0 0
72 7.1000000000000041E-01 2.0750000000000006E+00 2250 0 0 0
73 7.2000000000000042E-01 2.0900000000000007E+00 2250 0 0 0
74 7.3000000000000043E-01 2.1050000000000004E+00 2250 0 0 0
75 7.4000000000000044E-01 2.1200000000000010E+00 2250 0 0 0
76 7.5000000000000044E-01 2.1350000000000007E+00 2250 0 0 0
77 7.6000000000000045E-01 2.1500000000000004E+00 2250 0 0 0
78 7.7000000000000046E-01 2.1650000000000009E+00 2250 0 0 0
79 7.8000000000000047E-01 2.1800000000000006E+00 2250 0 0 0
80 7.9000000000000048E-01 2.1950000000000007E+00 2250 0 0 0
81 8.0000000000000049E-01 2.2100000000000009E+00 2250 0 0 0
82 8.1000000000000050E-01 2.2250000000000005E+00 2250 0 0 0
83 8.2000000000000051E-01 2.2400000000000011E+00 2250 0 0 0
84 8.3000000000000052E-01 2.2550000000000008E+00 2250 0 0 0
85 8.4000000000000052E-01 2.2700000000000005E+00 2250 0 0 0
86 8.5000000000000053E-01 2.2850000000000010E+00 2250 0 0 0
87 8.6000000000000054E-01 2.3000000000000007E+00 2250 0 0 0
88 8.7000000000000055E-01 2.3150000000000008E+00 2250 0 0 0
89 8.8000000000000056E-01 2.3300000000000010E+00 2250 0 0 0
90 8.9000000000000057E-01 2.3450000000000006E+00 2250 0 0 0
91 9.0000000000000058E-01 2.3600000000000012E+00 2250 0 0 0
92 9.1000000000000059E-01 2.3750000000000009E+00 2250 0 0 0
93 9.2000000000000060E-01 2.3900000000000006E+00 2250 0 0 0
94 9.3000000000000060E-01 2.4050000000000011E+00 2250 0 0 0
95 9.4000000000000061E-01 2.4200000000000008E+00 2250 0 0 0
96 9.5000000000000062E-01 2.4350000000000009E+00 2250 0 0 0
97 9.6000000000000063E-01 2.4500000000000011E+00 2250 0 0 0
98 9.7000000000000064E-01 2.4650000000000007E+00 2250 0 0 0
99 9.8000000000000065E-01 2.4800000000000013E+00 2250 0 0 0
100 9.9000000000000066E-01 2.4950000000000010E+00 2250 0 0 0
101 1.0000000000000007E+00 2.5100000000000007E+00 2250 0 0 0
102 1.0100000000000007E+00 2.5250000000000012E+00 2250 0 0 0
103 1.0200000000000007E+00 2.5400000000000009E+00 2250 0 0 0
104 1.0300000000000007E+00 2.5550000000000010E+00 2250 0 0 0
105 1.0400000000000007E+00 2.5700000000000012E+00 2250 0 0 0
106 1.0500000000000007E+00 2.5850000000000009E+00 2250 0 0 0
107 1.0600000000000007E+00 2.6000000000000014E+00 2250 0 0 0
108 1.0700000000000007E+00 2.6150000000000011E+00 2250 0 0 0
109 1.0800000000000007E+00 2.6300000000000008E+00 2250 0 0 0
110 1.0900000000000007E+00 2.6450000000000014E+00 2250 0 0 0
111 1.1000000000000008E+00 2.6600000000000010E+00 2250 0 0 0
112 1.1100000000000008E+00 2.6750000000000012E+00 2250 0 0 0
113 1.1200000000000008E+00 2.6900000000000013E+00 2250 0 0 0
114 1.1300000000000008E+00 2.7050000000000010E+00 2250 0 0 0
115 1.1400000000000008E+00 2.7200000000000015E+00 2250 0 0 0
116 1.1500000000000008E+00 2.7350000000000012E+00 2250 0 0 0
117 1.1600000000000008E+00 2.7500000000000009E+00 2250 0 0 0
118 1.1700000000000008E+00 2.7650000000000015E+00 2250 0 0 0
119 1.1800000000000008E+00 2.7800000000000011E+00 2250 0 0 0
120 1.1900000000000008E+00 2.7950000000000013E+00 2250 0 0 0
121 1.2000000000000008E+00 2.8100000000000014E+00 2250 0 0 0
122 1.2100000000000009E+00 2.8250000000000011E+00 2250 0 0 0
